,year,config,Berth,Navi,Moni,NaviCrew,EngiCrew,Cook,crew_cost,store_cost,maintenance_cost,insurance_cost,general_cost,dock_cost,material_cost,integrate_cost,add_eq_cost,port_call,fuel_cost_ME,fuel_cost_AE,SCC_Capex,SCC_Opex,SCC_Personal,Mnt_in_port,subsidy,OPEX,CAPEX,VOYEX,AddCost,accident_berth,accident_navi,accident_moni
0,2022,Config0,0,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,453333.0,0,600000.0,1840000.0,280000.0,0.0,0.0,0.0,0,0,2390000.0,1360000.0,2720000.0,0.0,96.0,78.0,32.0
1,2022,Config1,1,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,543999.6,34000,600000.0,1840000.0,280000.0,0.0,0.0,0.0,0,0,2390000.0,1484666.6,2720000.0,0.0,96.0,78.0,32.0
2,2022,Config2,0,1,0,4,14,2,852862.5,289000,285650.0,289000,289000,289000,901000.33125,541166.2687499999,34000,600000.0,1840000.0,274400.0,11722.0,5590.5,66444.5,0,0,2294512.5,1476166.6,2714400.0,83757.0,96.0,78.0,32.0
3,2022,Config3,0,2,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,634666.2,68000,600000.0,1773760.0,280000.0,23444.0,11181.0,132889.0,0,0,2390000.0,1609333.2,2653760.0,167514.0,96.0,78.0,32.0
4,2022,Config4,0,0,1,4,14,2,415800.0,289000,277275.0,289000,289000,289000,901000.33125,541166.2687499999,136000,600000.0,1840000.0,260400.0,23444.0,11181.0,132889.0,155250,0,1849075.0,1578166.6,2700400.0,322764.0,96.0,78.0,32.0
5,2022,Config5,1,1,0,4,14,2,852862.5,289000,285650.0,289000,289000,289000,901000.33125,631832.8687499999,68000,600000.0,1840000.0,274400.0,11722.0,5590.5,66444.5,0,0,2294512.5,1600833.2,2714400.0,83757.0,96.0,78.0,32.0
6,2022,Config6,1,2,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,725332.7999999999,102000,600000.0,1773760.0,280000.0,23444.0,11181.0,132889.0,0,0,2390000.0,1733999.7999999998,2653760.0,167514.0,96.0,78.0,32.0
7,2022,Config7,1,0,1,4,14,2,415800.0,289000,277275.0,289000,289000,289000,901000.33125,631832.8687499999,170000,600000.0,1840000.0,260400.0,23444.0,11181.0,132889.0,155250,0,1849075.0,1702833.2,2700400.0,322764.0,96.0,78.0,32.0
8,2022,Config8,0,1,1,4,14,2,323662.5,289000,273925.0,289000,289000,289000,895333.6625000001,628999.5374999999,170000,600000.0,1840000.0,254800.0,35166.0,16771.5,199333.5,155250,0,1753587.5,1694333.2,2694800.0,406521.0,96.0,78.0,32.0
9,2022,Config9,0,2,1,4,14,2,368550.0,289000,277275.0,289000,289000,289000,901000.33125,722499.4687499999,204000,600000.0,1773760.0,260400.0,46888.0,22362.0,265778.0,155250,0,1801825.0,1827499.7999999998,2634160.0,490278.0,96.0,78.0,32.0
10,2022,Config10,1,1,1,4,14,2,323662.5,289000,273925.0,289000,289000,289000,895333.6625000001,719666.1374999998,204000,600000.0,1840000.0,254800.0,35166.0,16771.5,199333.5,155250,0,1753587.5,1818999.7999999998,2694800.0,406521.0,96.0,78.0,32.0
11,2022,Config11,1,2,1,4,14,2,368550.0,289000,277275.0,289000,289000,289000,901000.33125,813166.0687499999,238000,600000.0,1773760.0,260400.0,46888.0,22362.0,265778.0,155250,0,1801825.0,1952166.4,2634160.0,490278.0,96.0,78.0,32.0
0,2023,Config0,0,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,453333.0,0,600000.0,1840000.0,280000.0,0.0,0.0,0.0,0,0,2390000.0,1360000.0,2720000.0,0.0,96.0,78.0,32.0
1,2023,Config1,1,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,543999.6,34000,600000.0,1840000.0,280000.0,0.0,0.0,0.0,0,0,2390000.0,1484666.6,2720000.0,0.0,96.0,78.0,32.0
2,2023,Config2,0,1,0,4,14,2,852862.5,289000,285650.0,289000,289000,289000,901000.33125,541166.2687499999,34000,600000.0,1840000.0,274400.0,11722.0,5590.5,66444.5,0,0,2294512.5,1476166.6,2714400.0,83757.0,96.0,78.0,32.0
3,2023,Config3,0,2,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,634666.2,68000,600000.0,1773760.0,280000.0,23444.0,11181.0,132889.0,0,0,2390000.0,1609333.2,2653760.0,167514.0,96.0,78.0,32.0
4,2023,Config4,0,0,1,4,14,2,415800.0,289000,277275.0,289000,289000,289000,901000.33125,541166.2687499999,136000,600000.0,1840000.0,260400.0,23444.0,11181.0,132889.0,155250,0,1849075.0,1578166.6,2700400.0,322764.0,96.0,78.0,32.0
5,2023,Config5,1,1,0,4,14,2,852862.5,289000,285650.0,289000,289000,289000,901000.33125,631832.8687499999,68000,600000.0,1840000.0,274400.0,11722.0,5590.5,66444.5,0,0,2294512.5,1600833.2,2714400.0,83757.0,96.0,78.0,32.0
6,2023,Config6,1,2,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,725332.7999999999,102000,600000.0,1773760.0,280000.0,23444.0,11181.0,132889.0,0,0,2390000.0,1733999.7999999998,2653760.0,167514.0,96.0,78.0,32.0
7,2023,Config7,1,0,1,4,14,2,415800.0,289000,277275.0,289000,289000,289000,901000.33125,631832.8687499999,170000,600000.0,1840000.0,260400.0,23444.0,11181.0,132889.0,155250,0,1849075.0,1702833.2,2700400.0,322764.0,96.0,78.0,32.0
8,2023,Config8,0,1,1,4,14,2,323662.5,289000,273925.0,289000,289000,289000,895333.6625000001,628999.5374999999,170000,600000.0,1840000.0,254800.0,35166.0,16771.5,199333.5,155250,0,1753587.5,1694333.2,2694800.0,406521.0,96.0,78.0,32.0
9,2023,Config9,0,2,1,4,14,2,368550.0,289000,277275.0,289000,289000,289000,901000.33125,722499.4687499999,204000,600000.0,1773760.0,260400.0,46888.0,22362.0,265778.0,155250,0,1801825.0,1827499.7999999998,2634160.0,490278.0,96.0,78.0,32.0
10,2023,Config10,1,1,1,4,14,2,323662.5,289000,273925.0,289000,289000,289000,895333.6625000001,719666.1374999998,204000,600000.0,1840000.0,254800.0,35166.0,16771.5,199333.5,155250,0,1753587.5,1818999.7999999998,2694800.0,406521.0,96.0,78.0,32.0
11,2023,Config11,1,2,1,4,14,2,368550.0,289000,277275.0,289000,289000,289000,901000.33125,813166.0687499999,238000,600000.0,1773760.0,260400.0,46888.0,22362.0,265778.0,155250,0,1801825.0,1952166.4,2634160.0,490278.0,96.0,78.0,32.0
0,2024,Config0,0,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,453333.0,0,600000.0,1840000.0,280000.0,0.0,0.0,0.0,0,0,2390000.0,1360000.0,2720000.0,0.0,96.0,78.0,32.0
1,2024,Config1,1,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,543999.6,34000,600000.0,1840000.0,280000.0,0.0,0.0,0.0,0,0,2390000.0,1484666.6,2720000.0,0.0,96.0,78.0,32.0
2,2024,Config2,0,1,0,4,14,2,852862.5,289000,285650.0,289000,289000,289000,901000.33125,541166.2687499999,34000,600000.0,1840000.0,274400.0,11722.0,5590.5,66444.5,0,0,2294512.5,1476166.6,2714400.0,83757.0,96.0,78.0,32.0
3,2024,Config3,0,2,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,634666.2,68000,600000.0,1773760.0,280000.0,23444.0,11181.0,132889.0,0,0,2390000.0,1609333.2,2653760.0,167514.0,96.0,78.0,32.0
4,2024,Config4,0,0,1,4,14,2,415800.0,289000,277275.0,289000,289000,289000,901000.33125,541166.2687499999,136000,600000.0,1840000.0,260400.0,23444.0,11181.0,132889.0,155250,0,1849075.0,1578166.6,2700400.0,322764.0,96.0,78.0,32.0
5,2024,Config5,1,1,0,4,14,2,852862.5,289000,285650.0,289000,289000,289000,901000.33125,631832.8687499999,68000,600000.0,1840000.0,274400.0,11722.0,5590.5,66444.5,0,0,2294512.5,1600833.2,2714400.0,83757.0,96.0,78.0,32.0
6,2024,Config6,1,2,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,725332.7999999999,102000,600000.0,1773760.0,280000.0,23444.0,11181.0,132889.0,0,0,2390000.0,1733999.7999999998,2653760.0,167514.0,96.0,78.0,32.0
7,2024,Config7,1,0,1,4,14,2,415800.0,289000,277275.0,289000,289000,289000,901000.33125,631832.8687499999,170000,600000.0,1840000.0,260400.0,23444.0,11181.0,132889.0,155250,0,1849075.0,1702833.2,2700400.0,322764.0,96.0,78.0,32.0
8,2024,Config8,0,1,1,4,14,2,323662.5,289000,273925.0,289000,289000,289000,895333.6625000001,628999.5374999999,170000,600000.0,1840000.0,254800.0,35166.0,16771.5,199333.5,155250,0,1753587.5,1694333.2,2694800.0,406521.0,96.0,78.0,32.0
9,2024,Config9,0,2,1,4,14,2,368550.0,289000,277275.0,289000,289000,289000,901000.33125,722499.4687499999,204000,600000.0,1773760.0,260400.0,46888.0,22362.0,265778.0,155250,0,1801825.0,1827499.7999999998,2634160.0,490278.0,96.0,78.0,32.0
10,2024,Config10,1,1,1,4,14,2,323662.5,289000,273925.0,289000,289000,289000,895333.6625000001,719666.1374999998,204000,600000.0,1840000.0,254800.0,35166.0,16771.5,199333.5,155250,0,1753587.5,1818999.7999999998,2694800.0,406521.0,96.0,78.0,32.0
11,2024,Config11,1,2,1,4,14,2,368550.0,289000,277275.0,289000,289000,289000,901000.33125,813166.0687499999,238000,600000.0,1773760.0,260400.0,46888.0,22362.0,265778.0,155250,0,1801825.0,1952166.4,2634160.0,490278.0,96.0,78.0,32.0
0,2025,Config0,0,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,453333.0,0,600000.0,1840000.0,280000.0,0.0,0.0,0.0,0,0,2390000.0,1360000.0,2720000.0,0.0,96.0,78.0,32.0
1,2025,Config1,1,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,543999.6,34000,600000.0,1840000.0,280000.0,0.0,0.0,0.0,0,0,2390000.0,1484666.6,2720000.0,0.0,96.0,78.0,32.0
2,2025,Config2,0,1,0,4,14,2,852862.5,289000,285650.0,289000,289000,289000,901000.33125,541166.2687499999,34000,600000.0,1840000.0,274400.0,11722.0,5590.5,66444.5,0,0,2294512.5,1476166.6,2714400.0,83757.0,96.0,78.0,32.0
3,2025,Config3,0,2,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,634666.2,68000,600000.0,1773760.0,280000.0,23444.0,11181.0,132889.0,0,0,2390000.0,1609333.2,2653760.0,167514.0,96.0,78.0,32.0
4,2025,Config4,0,0,1,4,14,2,415800.0,289000,277275.0,289000,289000,289000,901000.33125,541166.2687499999,136000,600000.0,1840000.0,260400.0,23444.0,11181.0,132889.0,155250,0,1849075.0,1578166.6,2700400.0,322764.0,96.0,78.0,32.0
5,2025,Config5,1,1,0,4,14,2,852862.5,289000,285650.0,289000,289000,289000,901000.33125,631832.8687499999,68000,600000.0,1840000.0,274400.0,11722.0,5590.5,66444.5,0,0,2294512.5,1600833.2,2714400.0,83757.0,96.0,78.0,32.0
6,2025,Config6,1,2,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,725332.7999999999,102000,600000.0,1773760.0,280000.0,23444.0,11181.0,132889.0,0,0,2390000.0,1733999.7999999998,2653760.0,167514.0,96.0,78.0,32.0
7,2025,Config7,1,0,1,4,14,2,415800.0,289000,277275.0,289000,289000,289000,901000.33125,631832.8687499999,170000,600000.0,1840000.0,260400.0,23444.0,11181.0,132889.0,155250,0,1849075.0,1702833.2,2700400.0,322764.0,96.0,78.0,32.0
8,2025,Config8,0,1,1,4,14,2,323662.5,289000,273925.0,289000,289000,289000,895333.6625000001,628999.5374999999,170000,600000.0,1840000.0,254800.0,35166.0,16771.5,199333.5,155250,0,1753587.5,1694333.2,2694800.0,406521.0,96.0,78.0,32.0
9,2025,Config9,0,2,1,4,14,2,368550.0,289000,277275.0,289000,289000,289000,901000.33125,722499.4687499999,204000,600000.0,1773760.0,260400.0,46888.0,22362.0,265778.0,155250,0,1801825.0,1827499.7999999998,2634160.0,490278.0,96.0,78.0,32.0
10,2025,Config10,1,1,1,4,14,2,323662.5,289000,273925.0,289000,289000,289000,895333.6625000001,719666.1374999998,204000,600000.0,1840000.0,254800.0,35166.0,16771.5,199333.5,155250,0,1753587.5,1818999.7999999998,2694800.0,406521.0,96.0,78.0,32.0
11,2025,Config11,1,2,1,4,14,2,368550.0,289000,277275.0,289000,289000,289000,901000.33125,813166.0687499999,238000,600000.0,1773760.0,260400.0,46888.0,22362.0,265778.0,155250,0,1801825.0,1952166.4,2634160.0,490278.0,96.0,78.0,32.0
0,2026,Config0,0,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,453333.0,0,600000.0,1840000.0,280000.0,0.0,0.0,0.0,0,0,2390000.0,1360000.0,2720000.0,0.0,96.0,78.0,32.0
1,2026,Config1,1,0,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,543999.6,34000,600000.0,1840000.0,280000.0,0.0,0.0,0.0,0,0,2390000.0,1484666.6,2720000.0,0.0,96.0,78.0,32.0
2,2026,Config2,0,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,895333.6625,538332.9375,34000,600000.0,1840000.0,268800.0,11722.0,5590.5,66444.5,0,0,2199025.0,1467666.6,2708800.0,83757.0,96.0,78.0,32.0
3,2026,Config3,0,2,0,4,14,2,945000.0,289000,289000.0,289000,289000,289000,906667.0,634666.2,68000,600000.0,1773760.0,280000.0,23444.0,11181.0,132889.0,0,0,2390000.0,1609333.2,2653760.0,167514.0,96.0,78.0,32.0
4,2026,Config4,0,0,1,4,14,2,415800.0,289000,265550.0,289000,289000,289000,895333.6625,538332.9375,136000,600000.0,1840000.0,240800.0,23444.0,11181.0,132889.0,155250,0,1837350.0,1569666.6,2680800.0,322764.0,96.0,78.0,31.55
5,2026,Config5,1,1,0,4,14,2,760725.0,289000,282300.0,289000,289000,289000,895333.6625,628999.5375,68000,600000.0,1840000.0,268800.0,11722.0,5590.5,66444.5,0,0,2199025.0,1592333.2,2708800.0,83757.0,96.0,78.0,32.0
